-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M_MIN              MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT,T2M,T2MDEW,PRECTOTCORR,GWETTOP,GWETROOT,RH2M,QV2M,WS10M_MIN,WS10M,WD2M
20.75,87.75,2023,1,60.34,23.43,17.48,0.0,1.0,-999.0,69.32,12.32,0.17,1.86,93.26
20.75,88.25,2023,1,59.84,23.64,16.44,0.0,1.0,-999.0,64.01,11.53,0.21,1.6,99.18
20.75,88.75,2023,1,59.84,23.73,15.75,0.0,1.0,-999.0,60.94,11.02,0.2,1.61,68.25
20.75,89.25,2023,1,62.94,23.73,15.57,0.0,1.0,-999.0,60.31,10.92,0.33,2.05,57.0
20.75,89.75,2023,1,62.94,23.5,15.7,0.0,1.0,-999.0,61.66,11.0,0.8,2.69,38.98
20.75,90.25,2023,1,65.08,23.21,15.87,0.0,1.0,-999.0,63.39,11.11,1.5,3.38,23.73
20.75,90.75,2023,1,65.08,22.99,16.03,0.0,1.0,-999.0,64.81,11.22,2.39,4.11,34.41
20.75,91.25,2023,1,81.12,23.01,16.33,0.0,1.0,-999.0,66.03,11.41,3.5,5.03,107.81
20.75,91.75,2023,1,81.12,23.05,16.45,0.0,0.8,-999.0,66.31,11.54,4.02,5.09,239.26
20.75,92.25,2023,1,86.62,20.62,15.28,0.02,0.73,0.67,72.66,10.83,3.08,3.78,264.1
20.75,92.75,2023,1,86.62,18.28,12.12,0.03,0.66,0.66,70.98,9.14,2.04,2.58,226.69
