Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2010","2010","100 g/ha","50934","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2011","2011","100 g/ha","118820","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2012","2012","100 g/ha","77126","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2013","2013","100 g/ha","158307","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2014","2014","100 g/ha","142823","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2015","2015","100 g/ha","155965","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2016","2016","100 g/ha","224761","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2017","2017","100 g/ha","145214","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2018","2018","100 g/ha","69250","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2019","2019","100 g/ha","81362","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2020","2020","100 g/ha","83759","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2021","2021","100 g/ha","74190","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01379.01","Areca nuts","2022","2022","100 g/ha","85227","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01312","Bananas","2010","2010","100 g/ha","151680","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01312","Bananas","2011","2011","100 g/ha","151539","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01312","Bananas","2012","2012","100 g/ha","151371","A","Official figure",""
