-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 12/31/2010 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M_MIN              MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT,T2M,T2MDEW,PRECTOTCORR,GWETTOP,GWETROOT,RH2M,QV2M,WS10M_MIN,WS10M,WD2M
20.75,87.75,2010,1,78.65,21.91,15.22,0.0,1.0,-999.0,65.95,10.68,4.29,6.68,38.79
20.75,88.25,2010,1,80.88,21.88,15.05,0.0,1.0,-999.0,65.39,10.57,4.85,6.85,84.73
20.75,88.75,2010,1,80.88,21.88,14.94,0.0,1.0,-999.0,64.94,10.5,5.43,6.89,145.28
20.75,89.25,2010,1,79.59,22.02,14.97,0.0,1.0,-999.0,64.56,10.52,5.42,6.83,173.11
20.75,89.75,2010,1,79.59,22.09,15.1,0.0,1.0,-999.0,64.73,10.6,5.72,7.13,197.56
20.75,90.25,2010,1,78.19,22.03,15.26,0.0,1.0,-999.0,65.53,10.7,6.16,7.6,261.98
20.75,90.75,2010,1,78.19,21.89,15.54,0.0,1.0,-999.0,67.22,10.89,6.62,8.12,342.88
20.75,91.25,2010,1,81.16,21.9,16.25,0.0,1.0,-999.0,70.25,11.38,7.07,8.65,349.91
20.75,91.75,2010,1,81.16,22.03,16.64,0.0,0.77,-999.0,71.45,11.7,6.93,8.22,347.13
20.75,92.25,2010,1,87.9,20.42,15.35,0.0,0.6,0.56,73.78,10.88,4.84,5.7,341.28
20.75,92.75,2010,1,87.9,18.75,12.54,0.0,0.51,0.54,70.55,9.27,2.78,3.35,319.08
21.25,87.75,2010,1,78.88,20.43,13.84,0.0,0.9,-999.0,66.65,9.8,4.12,6.16,57.95
21.25,88.25,2010,1,79.11,20.73,13.84,0.0,0.89,-999.0,65.33,9.79,4.66,6.32,133.95
21.25,88.75,2010,1,79.11,20.78,13.81,0.0,0.88,-999.0,65.16,9.77,5.21,6.29,172.0
21.25,89.25,2010,1,77.41,21.12,13.99,0.0,0.87,-999.0,64.41,9.89,4.88,6.2,201.4
21.25,89.75,2010,1,77.41,21.29,14.26,0.0,0.87,-999.0,64.59,10.05,5.27,6.61,204.46
21.25,90.25,2010,1,75.55,21.26,14.54,0.0,0.91,-999.0,65.69,10.22,6.05,7.17,236.93
21.25,90.75,2010,1,75.55,21.14,14.95,0.0,0.98,-999.0,67.79,10.49,6.92,7.74,301.86
21.25,91.25,2010,1,81.08,21.24,15.81,0.0,1.0,-999.0,71.09,11.08,7.56,8.35,349.56
21.25,91.75,2010,1,81.08,20.82,15.92,0.0,0.67,-999.0,73.59,11.2,6.27,7.02,309.04
21.25,92.25,2010,1,82.88,18.34,13.89,0.0,0.56,0.56,76.84,9.99,3.11,3.61,259.31
21.25,92.75,2010,1,82.88,16.54,10.61,0.0,0.52,0.53,71.98,8.28,1.14,1.49,235.08
21.75,87.75,2010,1,78.88,17.72,11.84,0.0,0.72,0.66,70.51,8.61,3.31,4.99,125.97
21.75,88.25,2010,1,79.11,18.45,11.91,0.0,0.71,0.68,67.92,8.66,3.75,5.15,197.79
21.75,88.75,2010,1,79.11,18.66,11.85,0.0,0.69,0.66,67.12,8.64,4.08,4.96,184.72
21.75,89.25,2010,1,77.41,19.16,12.07,0.0,0.68,0.66,65.45,8.76,3.73,4.55,220.84
21.75,89.75,2010,1,77.41,19.22,12.37,0.0,0.68,0.67,66.1,8.92,4.04,4.95,252.17
21.75,90.25,2010,1,75.55,19.3,13.04,0.0,0.73,0.69,68.32,9.31,4.94,5.79,246.31
